Designator,Mid X,Mid Y,Rotation,Layer
D1,152.4,-52.3875,90.0,top
D10,152.0,-92.0,90.0,top
D11,156.0,-92.0,90.0,top
D12,160.0,-92.19,90.0,top
D2,157.0,-52.3875,90.0,top
D3,161.925,-52.3875,90.0,top
D4,152.0,-66.0,90.0,top
D5,156.0,-66.0,90.0,top
D6,160.0,-66.0,90.0,top
D7,152.0,-79.0,90.0,top
D8,156.0,-79.0,90.0,top
D9,160.0,-79.0,90.0,top
J1,92.55,-85.725,0.0,top
J2,130.96875,-47.275,90.0,top
J3,169.41875,-85.725,0.0,top
J4,131.0,-124.2,90.0,top
SW1,102.39375,-55.06,0.0,top
SW10,102.39375,-112.21,0.0,top
SW11,121.44375,-112.21,0.0,top
SW12,140.49375,-112.21,0.0,top
SW2,121.44375,-55.06,0.0,top
SW3,140.49375,-55.06,0.0,top
SW4,102.39375,-74.11,0.0,top
SW5,121.44375,-74.11,0.0,top
SW6,140.49375,-74.11,0.0,top
SW7,102.39375,-93.16,0.0,top
SW8,121.44375,-93.16,0.0,top
SW9,140.49375,-93.16,0.0,top
U1,160.0,-113.0,180.0,top
